,platformId,gameId,champion,queue,season,timestamp,role,lane
4,KR,4440924353,2,420,13,1591870156443,DUO_SUPPORT,NONE
0,KR,4462394035,64,420,13,1592744740899,DUO_SUPPORT,NONE
1,KR,4461930288,60,420,13,1592730986923,DUO_SUPPORT,NONE
2,KR,4460609110,245,420,13,1592677687193,NONE,JUNGLE
3,KR,4460635688,517,420,13,1592676216776,DUO_SUPPORT,NONE
4,KR,4460549243,141,420,13,1592672931522,NONE,JUNGLE
0,KR,4461861218,104,430,13,1592728140070,NONE,JUNGLE
1,KR,4461488208,245,450,13,1592727051928,DUO,NONE
2,KR,4459871876,76,420,13,1592658725276,NONE,JUNGLE
3,KR,4459745061,60,420,13,1592656782690,NONE,JUNGLE
4,KR,4459668905,60,420,13,1592655035578,NONE,JUNGLE
0,KR,4458271601,15,420,13,1592593579002,DUO,NONE
1,KR,4456531901,81,420,13,1592537585752,DUO_SUPPORT,NONE
2,KR,4455247266,81,420,13,1592476929845,DUO_CARRY,BOTTOM
3,KR,4455272427,81,420,13,1592475092293,DUO_CARRY,BOTTOM
4,KR,4455187682,81,420,13,1592473084533,DUO_CARRY,BOTTOM
0,KR,4462366201,429,420,13,1592745217878,DUO_SUPPORT,NONE
1,KR,4462289035,523,420,13,1592743159843,DUO_CARRY,BOTTOM
2,KR,4462221471,498,420,13,1592740898163,DUO,TOP
3,KR,4462166540,134,420,13,1592739474583,DUO,NONE
4,KR,4462068086,498,420,13,1592736803267,SOLO,BOTTOM
0,KR,4462314589,517,420,13,1592744619215,NONE,JUNGLE
1,KR,4462258663,64,420,13,1592743025047,DUO_SUPPORT,NONE
2,KR,4462068086,48,420,13,1592736803267,NONE,JUNGLE
3,KR,4462050618,104,420,13,1592734380858,NONE,JUNGLE
4,KR,4461925089,245,420,13,1592732549096,NONE,JUNGLE
0,KR,4462192661,517,420,13,1592738377415,SOLO,TOP
1,KR,4462063081,43,700,13,1592735502490,DUO_SUPPORT,BOTTOM
2,KR,4461339605,80,420,13,1592724664476,DUO,MID
3,KR,4461344151,164,420,13,1592723014511,DUO_SUPPORT,NONE
4,KR,4461295035,517,420,13,1592720435088,DUO,TOP
0,KR,4460796979,246,420,13,1592690236823,SOLO,MID
1,KR,4460754668,875,420,13,1592685071335,SOLO,MID
2,KR,4460792314,4,420,13,1592682114810,SOLO,MID
3,KR,4460730545,3,420,13,1592679826332,DUO_SUPPORT,NONE
4,KR,4460638680,266,420,13,1592678274350,DUO,MID
0,KR,4462102316,517,420,13,1592737739823,DUO,MID
1,KR,4462052763,245,420,13,1592735087262,DUO,TOP
2,KR,4461943577,245,420,13,1592732092230,DUO_SUPPORT,NONE
3,KR,4461777239,134,420,13,1592729968921,DUO,TOP
4,KR,4461478887,4,420,13,1592727385307,DUO_CARRY,MID
0,KR,4461474182,202,420,13,1592725929840,DUO_SUPPORT,NONE
1,KR,4458231765,81,420,13,1592593415331,DUO_CARRY,BOTTOM
2,KR,4458198648,523,420,13,1592591302101,DUO_CARRY,BOTTOM
